编号,岗位名称,岗位要求
7,人力资源总监,"岗位职责

1. 根据公司发展需要，参与制定人力资源战略规划，为重大人事决策提供建议和信息支持，提高公司的综合管理水平；

2. 建立并完善公司人力资源管理体系，研究、设计适合公司发展的人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度并实施；

3. 招聘优秀管理团队，实施人才发展储备计划，为公司各项发展提供人才保障，向公司高层提供有关人力资源战略、组织建设等方面的建议与实施；

4. 制订平台及各个项目、岗位的科学的绩效管理标准体系，组织实施绩效考核，并对绩效评价过程进行监督控制，不断完善绩效管理体系；

5. 根据公司业务发展规划，拟订薪资福利管理制度及薪资激励体系，监控人力资源成本，塑造、维护、发展和传播企业文化，丰富员工精神生活，增强员工对企业的归属感与团队凝聚力；

6. 及时处理公司管理过程中的重大人力资源问题；

7. 完成领导临时交办的其它工作。



任职要求

1. 人力资源管理、企业管理、工商管理等相关专业本科以上学历；

2. 5年以上人事管理经验，3年以上金融投资行业人力资源总监工作经验；

3. 擅长各类中高级人才的甄别和选拔，有5年及以上的专职招聘工作经验，具备猎头经验优先；

4. 对人力资源各个职能模块有全面和深入的认识并理解，熟悉国家相关政策、法律法规；

5. 具有极强的计划性和执行能力，有良好的沟通协调能力、组织能力；

6. 具有战略、策略化思维，有能力建立、整合不同的工作团队；

7. 亲和力强，抗压能力强，富有工作积极性。"
,,
8,人力资源总监,"岗位职责： 
1、组织制定集团人力资源整体战略规划和组织规划，协助决策层制定公司人力资源发展战略；
2、建立并完善人力资源管理体系及相关管理制度，设计人力资源管理模式（包括招聘、培训、薪酬、绩效、员工关系等体系的全面建设）；
3、拟订人力资源成本预算，监督控制预算的执行；
4、协调和控制集团及下属公司的招聘、培训、薪酬、绩效、员工关系等工作；
5、指导工作分析、岗位说明书及定岗定编工作，提出机构设置和岗位职责设计方案，控制人力资源成本；
6、招聘优秀管理团队，实施人才发展储备计划，及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划； 
7、负责推行公司的整体企业文化建设；
8、管理本部门日常工作，负责本部门员工工作考核、激励；
9、完成领导交办的其他工作；
任职要求：
1、全日制本科及以上学历，人力资源管理或工商管理相关专业；
2、10年以上大型及外资企业人力资源及相关企业管理经验，5年以上人力资源总监管理经验了；
3、熟悉现代企业人力资源管理模式，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策或法律法规；
4、熟悉多种人力资源管理方法和工具；
5、具有极强的指挥能力及计划执行能力；
6、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力；
7、熟练操作各类办公软件，为人诚信正直；
"
,,
9,人力资源总监,"职责描述：
1、按照集团总体发展战略，协助总裁制定公司发展战略规划，及时处理公司行政人事管理中的重大问题，并致力于提高公司的综合管理水平。
2、建立和完善人力资源管理体系，制定并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬管理及员工管理及发展等），并监督执行。
3、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施。擅长各类中、高级人才的甄别和选拨，完善公司人才储备和梯队建设。
4、定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持。
5、能与政府相关部门保持良好沟通。

任职要求：
1、人力资源、企业管理或相关专业专科以上学历。
2、10年以上人力资源相关工作经验，3年以上大型多元化集团公司人力资源部总监工作经验，参与过集团公司经营管理或人力资源管理工作的规划、建立、实施和管理。
3、具备现代人力资源管理理念和扎实的理论基础。
4、具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力。"
,,
10,人力资源总监,"人力资源总监
薪资：100万左右
任职要求：
全日制本科学历
具有新能源或汽车等高新技术HRD经验
沟通协调能力强
具有一定的抗压能力"
,,
11,集团人力资源总监,"岗位职责：
1.根据公司战略发展，统筹和规划企业人力资源整体运作，制订适合公司的人力资源政策；
2.完善人事管理制度、招聘体系、员工培训体系，优化薪酬福利体系和绩效评价体系；
3.保障企业关键岗位人才供给与培养。
职位要求：
1.30岁以上，45岁以下人力资源专业或企业管理专业本科或以上学历；
2.多元化集团公司人力资源总监岗位
3.精通现代人力资源管理理论，对人力资源各领域工作内容熟悉，具有企业战略规划及人力规划善于人力成本控制及风险管理；
"
,,
12,子公司人力资源总监,"1、全面负责所辖区域内人力资源部门的管理工作;
2、对所辖区域组织架构的调整、人员任免晋升等提供合理建议，规避人才管理风险，构建人才梯队；
3、充分了解行业和地区的薪资特点，结合集团用人机制和原则，为业务部门提出科学合理、具有激励性的薪酬方案建议;
4、对所辖区域内招聘工作负责，全面监督并管理各分公司招聘目标及执行进度，规范招聘标准及流程，匹配集团人才发展需求；
5、打造学习型组织，结合集团共享资源，匹配员工个性化发展需求，形成自主化学习氛围及机制；
6、定期对所辖区域分公司进行点检，形成异常诊断报告，及时规避用工风险及安全风险。

任职资格:
1、本科及以上学历，人力资源管理、企业管理、工商管理等专业优先；
2、8年以上行政人力资源管理经验，3年以上行政人力总监工作经验，有连锁行业经验者优先；
3、对人力资源各个职能模块有全面和深入的认识与理解，熟悉国家相关政策、法律法规；
4、具有极强的计划性和执行能力，有良好的沟通协调能力、组织能力、逻辑思维能力;
5、具有战略、策略化思维，有能力建立、整合不同的工作团队;
6、亲和力强，抗压能力强，富有工作积极性。"
,,
13,人力资源总监,"人力资源总监：年薪40万左右，可面议
工作职责 
1、根据公司发展战略和经营计划，协助制定公司人力资源战略规划和年度人力资源计划，并负责推进执行，有快消行业项目经验优先； 
2、建立并完善人力资源管理体系，研究、设计人力资源管理模式； 
3、结合企业战略发展需求，为企业整体运营提供决策支持； 
4、优化绩效管理体系，建设合理的激励及分配模式，提高激励性； 
5、搭建培训体系，创建多渠道、多形式和内容丰富的员工培训； 
6、统筹招聘工作，执行中高级人才招聘，搭建人才梯队，负责内部人才培养和外部人才引进的工作； 
7、根据公司经营情况制定健全的薪酬福利体系，分析行业薪酬福利水平及相关政策； 
8、赋能业务团队与相关职能岗位，提升团队经营、协同、领导、执行等能力。 
任职资格 
1、本科以上学历，5年以上人力资源管理经验；
2、熟悉国家相关法律、法规及贵州用工政策； 
3、丰富的团队搭建和管理经验，良好的领导能力与领导艺术，良好的团队协作精神，工作积极主动，勇于担当； 
4、良好的职业操作，较强的适应能力，执行力强。 

备注：前期在深圳总部培训，之后在贵州遵义仁怀常驻办公。下属5-6人。"
,,
14,人力资源副总监,"岗位职责：
1、负责集团人力资源部日常工作的运营及管理，对各事业部人力资源部门各模块工作进行监督和指导工作；
2、负责持续规范和完善公司人力资源管理系统，包括招聘、培训、绩效管理、薪酬福利、员工职业发展、员工关系等制度、流程体系的完善、实施与监督执行；
3、根据公司总体发展战略，参与制定人力资源战略规划，为人事决策提供建议和信息支持，支持人才战略实施；
4、协助人力总监做好组织设计与优化，建立科学的职位体系，并负责监督执行；
5、协助人力总监进行公司中高层干部的管理工作；
6、完成人力总监交办的其他工作。

任职要求：
1、本科及以上学历，硕士及以上学历者、人力资源相关专业者，有上市公司、领军企业工作经历者优先；
2、年龄35周岁及以下，五年以上人力资源经理/总监工作经验；
3、性格开朗，善于沟通，表达、协调能力强，有责任心及自我发展动力，致力于从事环境相关行业；
4、熟练掌握人力资源各大模块，能用战略业务视角指导公司人力资源工作开展；
5、熟练使用各类办公软件，学习能力强，擅于进行数据分析。"
,,
15,人力资源总监,"岗位职责:
1、建立并完善公司人力资源、行政管理制度和体系；
2、向公司高层决策者提供有关人力资源战略、组织建设等方面的建议；
3、根据公司战略目标，制订和推行人力资源部年度工作计划；
4、根据公司人员需求，全面制定和推进招聘工作；
5、发展并宣扬公司企业文化，提升企业文化内涵，丰富员工精神生活，增强员工对公司的归属感与团队凝聚力；
6、及时处理公司管理过程中的重大人力资源问题。
任职要求:
1、人力资源管理、企业管理、工商管理等相关专业本科以上学历； 
2、5年以上人事管理经验，3年以上人力资源总监工作经验，有互联网、电商行业经验者优先 ；
3、对人力资源各个职能模块有全面和深入的认识并理解，熟悉国家相关政策、法律法规；
4、具有极强的计划性和执行能力，有良好的沟通协调能力、组织能力；
5、具有战略、策略化思维，有能力建立、整合不同的工作团队； 
6、亲和力强，抗压能力强，富有工作积极性。"
,,
16,HRBP负责人/人力资源总监,"岗位职责：
1、	根据公司发展战略制定人力资源规划并制定人力资源管理制度；
2、	通过对组织现状的诊断，建议人员及架构配置方案，优化人员实现人岗有效匹配；配合业务负责人进行人员配置的战 略布局
3、	配合商业策略，快速搭建医学研发专业化团队及重组，深度参与业务部门管理，根据整体策略，策划并落地成功推动项目
4、	拓展行业人才资源，建立并维护关键岗位外部潜在人才库
5、	组织核心人才的保留及发展
6、	推动组织文化建设，营造积极向上的公平、公正的组织氛围，发扬价值观，保证组织的 持续健康成长
7、	员工激励：开展多维度的员工激励，主导激励机制的制定、落实，并对其有效性进行持续监控；
8、	员工关系：员工关系的协调以及管理，为业务部门提供相应法律支持以及解决方案。


任职资格：
1、	人力资源、管理或相关专业本科以上学历
2、	对人力资源个模块有较深入的认识，能够指导各个模块的工作
3、	6年以上医药行业人力资源总监或高级经理工作经验
4、	具有战略、策略化思维，有能力建立、整合不同的工作团队
5、	具有良好的沟通协调能力、组织能力
"
,,
17,人力资源总监/高级经理,"职责描述：
1、根据公司发展战略，制定企业人力资源规划；
2、完善人力资源管理体系，包括招聘、培训、绩效、薪酬及员工发展等体系的全面建设；
3、负责组织进行各部门人力资源需求以及员工需求调查和分析，制定具体的招聘计划以及培训计划；
4、向公司决策层提供人力资源、组织机构等方面的建议，做好人力体系预算规划及管控；
5、负责组织员工企业文化活动，建立员工学习与展现自我的平台，负责企业文化宣传，营造良好的组织氛围；
6、负责人力资源团队整体专业水平的发展提升与建设。
7、熟悉地产开发业务及运营模式，能灵活开展人力资源工作。


任职要求：
1、大学本科及以上学历，企业管理、人力资源相关专业；
2、8年以上人力资源从业经验，有地产行业人力资源管理3年以上同岗位经验；
3、熟悉国家有关政策、法规，熟悉人力资源管理的各个职能模块；
4、具有战略策略性思维，强计划性、执行力；
5、具有良好的服务意识及应变能力，具备处理突发事件的能力；"
,,
18,人力资源总监hrd,"职责描述：
1. 根据公司发展战略，组织制定国际业务板块人力资源战略规划；参与公司重大人事决策；
2. 定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持；
3. 根据国际业务板块的情况，组织制定国际板块招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施；
4. 负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案；
5. 负责建立畅通的沟通渠道和有效的激励机制；
6. 定期组织收集员工想法和建议。

任职要求：
1. 本科及以上学历，人力资源管理、企业管理、工商管理等相关专业优先；
2. 10年以上人力资源工作经验，近5年大型制造业企业人力资源管理工作经验，新能源类企业优先；
3. 精通研发生产型企业的薪酬设计、绩效考核、激励制度、员工发展等；
4. 英语可作为工作语言者优先。"
,,
19,人力资源总监,"职责描述：

1. 全面负责公司的人事工作，根据公司的用人需要进行及时的人员招聘；
2. 负责公司的薪酬体系、绩效考核、劳动关系、培训、人力资源规划等人事工作；
3. 负责公司的企业文化建设、人事制度建立及推进；
4. 其他相关的人事工作。

任职要求：

1. 本科以上学历，10年以上企业人事工作经验；有半导体和电子行业相关经验，高科技企业人事工作经验；
2. 熟悉人力资源工作的六大模块，具有良好的人才招聘经验；
3. 熟悉各项国家企业有关的政策，法律法规 企业各项制度制定和执行；
4. 具有企业文化建设的经验，有很强的沟通能力和部门协调能力；"
,,
20,人力资源总监,"职责描述：
1、了解公司业务端运作模式、策略与目标，为销售业务策略实施、目标达成，在人才驱动方面提供建议，并负责实施；
2、为业务端发展提供系统的人力资源支持，定期开展人才盘点，在人才引进、人才培养、人才激励、人才保留、组织环境建设等方面为业务端提供有效的解决方案并实施；
3、坚持客户导向，在业务系统内推动变革，包括但不仅限于业务系统组织变革、业务模式创新、激励机制创新、人才培育创新等；
4、主动与管理层、业务系统各级主管及员工进行多种形式的接触和有效沟通，关注业务需求、关键人才需求，保证信息在公司和员工之间有效传递；
5、业务系统人力资源项目的立项调研、策划、实施、监控与评估，合理运用项目管理体系和方法来提升人力资源效能，达成业务目标；
6、其他上级主管交办事项。
任职要求：
1.  985、211大学，全日制本科或以上学历；
2.  8年以上企业人力资源工作经验，有在快速成长公司或知名公司的HRBP/HRG经验者优先考虑，有运作管理全国范围内跨区域HRBP业务工作经验者优先；
3.   具备较强的结构化系统思维和独立的逻辑思考能力、移情沟通能力、学习总结能力；对新鲜事物有好奇心，对组织发展有创新思考和行动力；
4.   积极主动，具备较强的成就动机和自驱力，简单直接，不瞻前顾后，目标感强，行动力强；精力充沛、有活力，能跟上业务的高速发展，能承受高强度工作压力。
"
,,
21,人力资源副总监,"一、工作职责：
1、按照集团战略要求及经营发展目标，制定相关人力资源发展战略；
2、建立并完善人力资源管理体系，研究设计管理的模式（包含招聘、培训、绩效、薪酬及组织架构等体系的全面建设），制定和完善人力资源管理制度；
3、提供人力资源、组织架构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；
4、针对多层次人才的诉求，提供相关培养、保留的人力资源政策，以提升人才良性循环。
二、任职资格：
1、本科以上学历，10年以上工作经验，2年以上同等职位工作经历；
2、高新科技类、大型制造企业、3C类/电子类/通信类企业背景优先考虑；
3、具有解决复杂问题的能力， 很强的计划性和实施执行的能力； 很强的激励、沟通、协调、团队领导能力，责任心、事业心强。
"
,,
22,人力资源总监,"岗位职责：
1. 人资体系及政策草拟与研究 
2. 人资作业细节之规划与推动
3. 人资管理体系运作执行与落实
4. 传帮带之工作
5. 规划管理集团发展之工作
6. 一般项目工作之规划与推动
任职要求：
1. 能根据企业人力资源战略与规划构建人力资源管理体系（政策、制度、流程、规范、标准）
2. 能规划和组织人力盘点与岗位分析
3. 能对人资业务流程（选、育、用、留）进行诊断和优化
4. 能对招聘、培训、绩效考评、薪酬、任用、离/辞职、员工关系等作业进行有效督导和评估
5. 具有创意/创新/创业之潜能
6. 具备良好的教导与工作经验传授能力
"
,,
23,人力资源总监hrd,"职责描述：
1. 根据公司发展战略，组织制定国际业务板块人力资源战略规划；参与公司重大人事决策；
2. 定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持；
3. 根据国际业务板块的情况，组织制定国际板块招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施；
4. 负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案；
5. 负责建立畅通的沟通渠道和有效的激励机制；
6. 定期组织收集员工想法和建议。

任职要求：
1. 本科及以上学历，人力资源管理、企业管理、工商管理等相关专业优先；
2. 10年以上人力资源工作经验，近5年大型制造业企业人力资源管理工作经验，新能源类企业优先；
3. 精通研发生产型企业的薪酬设计、绩效考核、激励制度、员工发展等；
4. 英语可作为工作语言者优先。"
,,
24,人力资源总监（上海、南京）,"工作职责:
1、为了支撑企业的发展战略、发展阶段和人员素质要求，制定人力资源规划并组织实施；
2、 根据公司战略及需求，制定人员招聘计划、各类招聘方案、并对招聘渠道及招聘过程进行把控；
3、 深入了解和掌握业务进展和人力现状，根据业务的战略发展方向，进行组织诊断，整合内部资源，提供定制化的HR解决方案，形成选育用留闭环管理；
4、 负责员工管理，解决、处理员工冲突，接待员工投诉，制定内部轮岗制度，并控制方案有效的实施；
5、完善人才胜任力模型及人才梯队建设，定期进行人员盘点，打造人才供应链体系，建立来伊份区域人才生态圈，推动组织与人才发展；
6、与来伊份学院共同搭建人才培养体系，建立全面的科学培训系统，提升员工专业能力和职业素养，打造学习型组织；
7、推进公司文化价值观、发展规划与路径、激励政策、制度规范等内容的有效传达，定期跟进过程管理，辅助公司战略目标达成；
8、负责完成上级交办的其它各项工作事务。
任职资格:
1、学历要求：本科学历，专业不限； 
2、经验要求：10年以上人力资源工作经验，其中3年以上大中型食品企业人力资源管理岗位工作经验； 
3、专业要求：了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关政策和法律法规； 
4、能力素质要求：具备很强的计划性和实施执行的能力，有亲和力，很强的激励、沟通、协调、团队领导和解决复杂问题的能力。"
,,
25,HRD人力资源总监,"职责描述：
1. 根据公司发展战略，组织制定国际业务板块人力资源战略规划；参与公司重大人事决策；
2. 定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持；
3. 根据国际业务板块的情况，组织制定国际板块招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施；
4. 负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案；
5. 负责建立畅通的沟通渠道和有效的激励机制；
6. 定期组织收集员工想法和建议。

任职要求：
1. 本科及以上学历，人力资源管理、企业管理、工商管理等相关专业优先；
2. 10年以上人力资源工作经验，近5年大型制造业企业人力资源管理工作经验，新能源类企业优先；
3. 精通研发生产型企业的薪酬设计、绩效考核、激励制度、员工发展等；
4. 英语可作为工作语言者优先。"
,,
26,人力资源总监,"岗位职责：
1、深刻理解公司人力资源战略和规划，确保公司政策、制度、流程的落地执行；
2、深入了解和熟悉业务，定期进行人力资源相关数据分析，提供建议和人力资源咨询服务；
3、协助业务部门优化人员管理，包括员工关怀、员工培训、绩效管理和激励、文化宣导和融合、员工关系等，帮助发现和诊断存在的问题并协助解决；
4、配合业务部门的需求，提供其他人力资源相关支持以及HR相关突发事件的处理等。
任职要求：
1、8年以上人力资源工作经验，熟悉人力资源六大模块工作，熟悉国家相关的政策、法律法规；
2、具备良好的人际交往能力、学习能力、组织协调能力和沟通能力；
3、积极主动、创新思维、工作细致、有责任心，执行力强，有较好抗压力；
4、熟练使用office相关办公软件，数据处理能力强。"
,,
27,人力资源总监,"工作地点：上海徐汇区

背景要求：医药行业【硬条件】

专业方向：组织管控（强OD或TD方向）

岗位职责：
1、围绕公司战略及业务进展，制定人力资源部门一级计划并为之负责。
2、建立成熟招聘渠道，为关键岗位吸引、保留及基层满岗率垫基。
3、完善招聘体系，提升组织识人能力，提高面试效率。
4、培训计划开展及组织内训师培养、知识体系建设。
5、围绕一年两期绩效评估节点，开展各项绩效管理活动，规划会，绩效反馈等。
6、管控薪酬、加班预算，规范发薪操作。
7、员工关系梳理及企业文化落地。
8、牵引并配合业务工作，诸如交房等重大节点提供前置支持。
9、配合集团，开展战略性人力资源项目，如校园招聘。
10、参与组织战略，在团队建设、人员发展等方面牵头，人力资源系统本身团队建设及能力提升。"
,,
28,人力资源总监/副总监,"岗位职责:
1、负责整车制造工厂的人力资源全面管理工作；
2、负责落实人力资源中心关于组织发展、干部管理、培训、企业文化、绩效、薪酬、招聘、员工关系的各项制度、规定；
3、服务于工厂经营目标，策划和组织各项人力工作（选育用留）并在工厂推进；
4、对工厂人力运营情况进行分析、诊断，制定改进方案并实施；
5、不断促进工厂与员工的共同健康可持续发展。
任职资格:
1、统招本科学历，10年以上人力资源工作经验，汽车行业、整车制造企业或大型零部件制造企业背景，具备整车制造工厂全盘管理经验者优先；
2、具备战略性思维和极强的执行能力，能根据业务情况、环境变化等，灵活制定人力资源策略和方案，并付诸实践，支持业务发展；
3、具备团队搭建和管理经验，能够有效分解任务，激励并带领团队达成目标。
工作地点：需在深圳工作半年，再结合个人意愿和公司需要，安排至广州、深圳、常熟、昆山等地长期工作。"
,,
29,人力资源总监-HR BP Head,"岗位职责：
1、根据集团和各事业部战略、指定年度人力资源战略规划和年度执行计划；
2、人力资源工作全面的开展；
3、负责组织架构优化、层级体系搭建、考核制度和文化建设等核心项目、提升组织效能；
4、日常薪酬绩效、股权激励的设计等；
5、塑造、维护、发展和传播企业文化；

任职要求：
1、10年以上人力资源工作经验，消费品行业优先，其中3年以上人力资源全盘工作，熟悉TA，OD，TD等业务
2、拥有不同性质的公司经验，上市公司经验和创业公司优先；
3、具备良好沟通的沟通表达能力和协作能力。"
,,
30,人力资源总监,"岗位职责：

1、根据公司发展战略，制定企业人力资源规划；

2、完善人力资源管理体系，包括招聘、培训、绩效、薪酬及员工发展等体系的全面建设；

3、负责组织进行各部门人力资源需求以及员工需求调查和分析，制定具体的招聘计划以及培训计划；

4、向公司决策层提供人力资源、组织机构等方面的建议，做好人力体系预算规划及管控；

5、负责组织员工企业文化活动，建立员工学习与展现自我的平台，负责企业文化宣传，营造良好的组织氛围；

6、负责人力资源团队整体专业水平的发展提升与建设。

任职要求：

1、大学本科及以上学历，企业管理、人力资源相关专业；

2、8年以上人力资源从业经验，有地产行业人力资源管理3年以上同岗位经验；

3、熟悉国家有关政策、法规，熟悉人力资源管理的各个职能模块；

4、具有战略策略性思维，强计划性、执行力；

5、具有良好的服务意识及应变能力，具备处理突发事件的能力；

6、熟悉地产开发业务及运营模式，能灵活开展人力资源工作。"
,,
